Period,Total_Budget_NPR,Revenue_NPR,Expense_NPR,Sales_Units,Marketing_Spend_NPR,Operations_Spend_NPR,RnD_Spend_NPR,Other_Spend_NPR
2025-08,3200000,2950000,2420000,1780,510000,940000,610000,360000
2025-09,3200000,3060000,2475000,1840,525000,955000,620000,375000
2025-10,3300000,3180000,2510000,1910,540000,965000,625000,380000
2025-11,3300000,3290000,2580000,1975,560000,990000,635000,395000
2025-12,3400000,3460000,2660000,2080,590000,1015000,650000,405000
2026-01,3500000,3540000,2715000,2140,610000,1030000,660000,415000
2026-02,3500000,3670000,2760000,2210,625000,1045000,670000,420000
2026-03,3600000,3820000,2830000,2300,655000,1065000,680000,430000
2026-04,3700000,3980000,2910000,2390,690000,1085000,690000,445000
2026-05,3800000,4160000,2995000,2510,725000,1110000,700000,460000
2026-06,4000000,4380000,3110000,2640,770000,1150000,715000,475000
2026-07,4200000,4620000,3240000,2790,820000,1200000,730000,490000
